"Identyfikator Produktu (ID)","Product name (incl. combination)","Kod produktu","Cena ostateczna (brutto)","Obniżka_1","Obniżka_2","Typ obniżki_1","Typ obniżki_2"
"63","Bluza z kapturem Pikeur Medea zielona : KOLOR - zielony, ROZMIAR - 72","00489-MEDEA 2753-34","419.40","0.40","","percentage",""
"84","Bluzka konkursowa Pikeur biała : KOLOR - biały, ROZMIAR - 38","00555-D-TURN.SHIRT 6039-36","166.60","0.32","","percentage",""
"86","Bluzka konkursowa Pikeur biało-różowa : ROZMIAR - 36, KOLOR - biały-różowy,Bluzka konkursowa Pikeur biało-różowa : ROZMIAR - 34, KOLOR - biały-różowy,Bluzka konkursowa Pikeur biało-różowa : ROZMIAR - 38, KOLOR - biały-różowy","TURNSHIRT 6020-36 WH/PINK","92.34,164.73,164.73","0.43","","percentage",""
"94","Bluzka konkursowa Pikeur granatowa : KOLOR - granatowy, ROZMIAR - 34,Bluzka konkursowa Pikeur granatowa : ROZMIAR - 38, KOLOR - granatowy","00580-553/6008-34","164.61,185.85","0.41","","percentage",""
"105","Bluzka Pikeur Antonia czerwona : KOLOR - czerwony, ROZMIAR - 38,Bluzka Pikeur Antonia czerwona : KOLOR - czerwony, ROZMIAR - 40","ANTONIA 3699-38","128.25,128.25","0.43","","percentage",""
"202","Frak Pikeur Branca czarny : KOLOR - czarny, ROZMIAR - 34,Frak Pikeur Branca czarny : KOLOR - czarny, ROZMIAR - 36","02216-BRANCA 2807-34","621.00,659.40","0.40","","percentage",""
"209","Frak Pikeur Saphira granatowy : KOLOR - granatowy, ROZMIAR - 36,Frak Pikeur Saphira granatowy : KOLOR - granatowy, ROZMIAR - 76,Frak Pikeur Saphira granatowy : KOLOR - granatowy, ROZMIAR - 72","02233-SAPHIRA 2824-36","682.50,682.50,682.50","0.35","","percentage",""
"279","Koszula turniejowa Pikeur kratka błękitna : ROZMIAR - 39, KOLOR - błękitny,Koszula turniejowa Pikeur kratka błękitna : KOLOR - błękitny, ROZMIAR - 41,Koszula turniejowa Pikeur kratka błękitna : KOLOR - błękitny, ROZMIAR - 43,Koszula turniejowa Pikeur kratka błękitna : ROZMIAR - 40, KOLOR - błękitny","03375-H-HEMD 724-39","127.60,142.10,142.10,142.10","0.42","","percentage",""
"407","Polo konkursowe Pikeur białe : KOLOR - biały, ROZMIAR - 40,Polo konkursowe Pikeur białe : KOLOR - fuksja, ROZMIAR - 47 cm,Polo konkursowe Pikeur białe : KOLOR - biały, ROZMIAR - 41","05602-H-TURN.SHIRT 6007-40","144.42,144.42,159.50","0.42","","percentage",""
"418","Polo Pikeur Vanessa zielone : KOLOR - zielony, ROZMIAR - 34,Polo Pikeur Vanessa zielone : KOLOR - zielony, ROZMIAR - 36,Polo Pikeur Vanessa zielone : KOLOR - zielony, ROZMIAR - 38","VANESSA 3698-34","119.40,141.00,141.00","0.40","","percentage",""
