"Identyfikator Produktu (ID)";"Nazwa produktu";"Kod referencyjny kombinacji";"Kod kreskowy EAN-13 lub JAN kombinacji";"Ilość";"Attribute KOLOR";"Attribute ROZMIAR"
"1";"Bat do lonżowania FP Sigma-2 czarny";"103031010-180";"5901845314305";"2";"czarny";"180 cm"
"1";"Bat do lonżowania FP Sigma-2 czarny";"103031010-200";"5901845329699";"0";"czarny";"200 cm"
"2";"Bat do lonżowania FP Sigma-2 czerwony";"103030404180-180";"5901845314299";"4";"czerwony";"180 cm"
"2";"Bat do lonżowania FP Sigma-2 czerwony";"103030404200-200";"5901845329682";"0";"czerwony";"200 cm"
"12";"Bat do lonżowania York Reflex odbl. czarny";"101002180-180";"5901157764010";"2";"czarny";"180 cm"
"12";"Bat do lonżowania York Reflex odbl. czarny";"101002110-110";"5901157745118";"0";"szary";"110 cm"
"49";"Bezrękawnik Pikeur Pico antracytowy";"00433-PICO 1988-52";"4055377705832";"1";"antracytowy";"52"
"50";"Bezrękawnik Pikeur Pico czerwony";"00434-PICO 1986-48";"4055377508785";"0";"czerwony";"48"
"50";"Bezrękawnik Pikeur Pico czerwony";"00435-PICO 1986-50";"4055377508792";"1";"czerwony";"50"
"51";"Bezrękawnik Pikeur Pico niebieski";"00436-PICO1990-50";"4055377705788";"1";"niebieski";"50"
"53";"Blokada boksu Eskadron black,  czarna";"362000 400 290 / STÜCK";"4055377067664";"1";"black";""
"54";"Bluza HKM Flash granatowo-szary";"78156995.0636";"4057052058721";"0";"granatowy-szary";"S"
"54";"Bluza HKM Flash granatowo-szary";"78156995.068";"4057052058714";"1";"granatowy-szary";"XS"
"55";"Bluza Pikeur Dorena pomarańczowa";"DORENA 2665/36";"4055377549726";"1";"pomarańczowy";"36"
"58";"Bluza Pikeur Leonie szara";"00471-LEONIE 3669-34";"4055377292516";"1";"szary";"34"
"66";"Bluzka konkursowa Waldhausen Cassandra biała";"3209302-36";"4043969388655";"2";"biały";"36"
"66";"Bluzka konkursowa Waldhausen Cassandra biała";"3209302-38";"4043969388662";"0";"biały";"38"
"71";"Bluzka konkursowa HKM Silver Stream czerwona";"73543900.0606";"4000315928729";"1";"czerwony";"M"
"71";"Bluzka konkursowa HKM Silver Stream czerwona";"73543900.0627";"4000315928712";"1";"czerwony";"S"
"72";"Bluzka konkursowa Horze biała";"32362-WH-36";"6438076235394";"0";"biały";"36"
"72";"Bluzka konkursowa Horze biała";"32362-WH-38";"6438076235400";"0";"biały";"38"
"72";"Bluzka konkursowa Horze biała";"32362WH40";"6438076235417";"2";"biały";"40"
"72";"Bluzka konkursowa Horze biała";"32362-WH-42";"6438076235424";"1";"biały";"42"
"73";"Bluzka konkursowa Horze Cool biała";"33044-WH-122/128";"6438076456232";"1";"biały";"122-128 cm"
"73";"Bluzka konkursowa Horze Cool biała";"33044-WH-134/140";"6438076456249";"0";"biały";"134-140 cm"
"73";"Bluzka konkursowa Horze Cool biała";"33044-WH-146/152";"6438076456256";"0";"biały";"146-152 cm"
"79";"Bluzka konkursowa Pikeur biała";"00547-549/6007-34";"4055377278213";"1";"biały";"34"
"79";"Bluzka konkursowa Pikeur biała";"00553-549/6007-36";"4055377278220";"0";"biały";"36"
"79";"Bluzka konkursowa Pikeur biała";"00560-549/6007-38";"4055377278237";"1";"biały";"38"
"81";"Bluzka konkursowa Pikeur biała";"00549-549/6049-34";"4055377278282";"1";"biały";"34"
"81";"Bluzka konkursowa Pikeur biała";"00554-549/6049-36";"4055377278299";"2";"biały";"36"
"81";"Bluzka konkursowa Pikeur biała";"00564-549/6049-38";"4055377278305";"0";"biały";"38"
"83";"Bluzka konkursowa Pikeur biała";"00551-547/6007-36";"4055377277858";"1";"biały";"36"
"83";"Bluzka konkursowa Pikeur biała";"00562-547/6007-38";"4055377277865";"0";"biały";"38"
"89";"Bluzka konkursowa Pikeur czerwona";"00570-TURNSHIRT 6000-34";"4047182780449";"1";"czerwony";"34"
"90";"Bluzka konkursowa Pikeur czerwona";"00572-TURSHIRT 6000-38";"4055377081530";"1";"czerwony";"38"
"96";"Bluzka konkursowa Pikeur malinowa";"00585-550/6009-36";"4055377278503";"2";"malinowy";"36"
"96";"Bluzka konkursowa Pikeur malinowa";"00586-550/6009-38";"4055377278510";"1";"malinowy";"38"
"97";"Bluzka konkursowa Pikeur pomarańczowa";"00590-D-TURN.SHIRT 6006-34";"4047182679927";"1";"pomarańczowy";"34"
"97";"Bluzka konkursowa Pikeur pomarańczowa";"00591-D-TURN.SHIRT 6006-36";"4047182679934";"1";"pomarańczowy";"36"
"98";"Bluzka konkursowa Pikeur różowa";"00592-547/6045-34";"4055377278008";"1";"różowy";"34"
"98";"Bluzka konkursowa Pikeur różowa";"00594-547/6045-36";"4055377278015";"2";"różowy";"36"
"98";"Bluzka konkursowa Pikeur różowa";"00597-547/6045-38";"4055377278022";"1";"różowy";"38"
"99";"Bluzka konkursowa Pikeur różowa";"00593-D-TURN.SHIRT 6001-36";"4047182681050";"1";"różowy";"36"
"101";"Bluzka konkursowa Pikeur różowa";"00596-TURSHIRT 6009-38";"4055377082315";"1";"różowy";"38"
"108";"Bluzka Pikeur Celia brązowa";"CELIA 3620-42";"4055377220090";"1";"brązowy";"42"
"111";"Koszulka Pikeur Lucette szara";"LUCETTE 3600-36";"4055377536238";"0";"szary";"36"
"111";"Koszulka Pikeur Lucette szara";"LUCETTE 3600-38";"4055377536245";"1";"szary";"38"
"113";"Bluzka Pikeur Pia szara";"00627-PIA 3692-36";"4055377538676";"1";"szary";"36"
"116";"Bryczesy młodzieżowe HKM Kids Easy białe";"90601200.0458";"4057052123504";"3";"biały";"140"
"116";"Bryczesy młodzieżowe HKM Kids Easy białe";"90601200.0467";"4057052123511";"2";"biały";"146"
"116";"Bryczesy młodzieżowe HKM Kids Easy białe";"90601200.0474";"4057052123528";"0";"biały";"152"
"116";"Bryczesy młodzieżowe HKM Kids Easy białe";"90601200.04809999";"4057052123535";"2";"biały";"158"
"116";"Bryczesy młodzieżowe HKM Kids Easy białe";"90601200.0487";"4057052123542";"2";"biały";"164"
"116";"Bryczesy młodzieżowe HKM Kids Easy białe";"90601200.0495";"4057052123559";"2";"biały";"170"
