"Identyfikator Produktu (ID)","Nazwa produktu","Opis","Cena sprzedaży z podatkiem","Cena ostateczna (brutto)","Url produktu","Urls obrazu produktu","Category Default Name","Producent","Kod kreskowy EAN-13 lub JAN","Kod produktu"
"49","Bezrękawnik Pikeur Pico antracytowy","Kamizelka męska Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonana z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Kamizelka lekko ocieplana watą. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie.","585.00 PLN","409.50 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-antracytowy-49.html#/rozmiar-52/kolor-antracytowy","http://www.pegazshop.pl/28443/bezrękawnik-pikeur-pico-antracytowy.jpg","Wyprzedaż","Pikeur","4055377705832","00433-PICO 1988-52"
"50","Bezrękawnik Pikeur Pico czerwony","Kamizelka męska Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonana z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Kamizelka lekko ocieplana watą. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie.","585.00 PLN","409.50 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-czerwony-50.html#/rozmiar-48/kolor-czerwony","http://www.pegazshop.pl/28444/bezrękawnik-pikeur-pico-czerwony.jpg","Wyprzedaż","Pikeur","4055377508785","00434-PICO 1986-48"
"50","Bezrękawnik Pikeur Pico czerwony","Kamizelka męska Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonana z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Kamizelka lekko ocieplana watą. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie.","585.00 PLN","409.50 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-czerwony-50.html#/rozmiar-50/kolor-czerwony","http://www.pegazshop.pl/28444/bezrękawnik-pikeur-pico-czerwony.jpg","Wyprzedaż","Pikeur","4055377508785","00434-PICO 1986-48"
"51","Bezrękawnik Pikeur Pico niebieski","Kamizelka męska Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonana z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Kamizelka lekko ocieplana watą. Zapinana na dwukierunkowy zamek błyskawiczny. Zakończona kołnierzem typu stójka. Wyposażona w kryte, zapinane kieszenie.","585.00 PLN","409.50 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-niebieski-51.html#/rozmiar-50/kolor-niebieski","http://www.pegazshop.pl/28446/bezrękawnik-pikeur-pico-niebieski.jpg","Wyprzedaż","Pikeur","4055377705788","00436-PICO1990-50"
"58","Bluza Pikeur Leonie szara","Damska bluza z kapturem Leonie firmy Pikeur z kolekcji wiosna/lato 2016. Wykonana z miękkiej pikowanej tkaniny bawełnianej o dużej gramaturze, dzięki czemu bluza jest niezwykle przyjemna w dotyku i ciepła. Zapinana na dwukierunkowy suwak oraz napy. Wyposażona w dwie pojemne kieszenie. Ozdobiona wyszytym napisem Pikur na lewej piersi.","499.00 PLN","349.30 PLN","https://www.pegazshop.pl/bluza-pikeur-leonie-szara-58.html#/rozmiar-34/kolor-szary","http://www.pegazshop.pl/28452/bluza-pikeur-leonie-szara.jpg","Wyprzedaż","Pikeur","4055377292516","00471-LEONIE 3669-34"
"79","Bluzka konkursowa Pikeur biała","Bluzka konkursowa Pikeur damska. Wykonana z wysokiej jakości materiału. Dobrze przepusza powietrze, wygodna.","269.00 PLN","215.20 PLN","https://www.pegazshop.pl/bluzka-konkursowa-pikeur-biała--79.html#/rozmiar-34/kolor-biały","http://www.pegazshop.pl/28491/bluzka-konkursowa-pikeur-biała-.jpg","Wyprzedaż","Pikeur","4055377278213","00547-549/6007-34"
"79","Bluzka konkursowa Pikeur biała","Bluzka konkursowa Pikeur damska. Wykonana z wysokiej jakości materiału. Dobrze przepusza powietrze, wygodna.","269.00 PLN","196.00 PLN","https://www.pegazshop.pl/bluzka-konkursowa-pikeur-biała--79.html#/rozmiar-36/kolor-biały","http://www.pegazshop.pl/28498/bluzka-konkursowa-pikeur-biała-.jpg","Wyprzedaż","Pikeur","4055377278213","00547-549/6007-34"
"79","Bluzka konkursowa Pikeur biała","Bluzka konkursowa Pikeur damska. Wykonana z wysokiej jakości materiału. Dobrze przepusza powietrze, wygodna.","269.00 PLN","215.20 PLN","https://www.pegazshop.pl/bluzka-konkursowa-pikeur-biała--79.html#/rozmiar-38/kolor-biały","http://www.pegazshop.pl/28502/bluzka-konkursowa-pikeur-biała-.jpg","Wyprzedaż","Pikeur","4055377278213","00547-549/6007-34"
"81","Bluzka konkursowa Pikeur biała","Bluzka konkursowa Pikeur damska. Wykonana z wysokiej jakości materiału. Dobrze przepusza powietrze, wygodna.","269.00 PLN","174.85 PLN","https://www.pegazshop.pl/bluzka-konkursowa-pikeur-biała--81.html#/rozmiar-34/kolor-biały","http://www.pegazshop.pl/28495/bluzka-konkursowa-pikeur-biała-.jpg","Wyprzedaż","Pikeur","4055377278282","00549-549/6049-34"
"81","Bluzka konkursowa Pikeur biała","Bluzka konkursowa Pikeur damska. Wykonana z wysokiej jakości materiału. Dobrze przepusza powietrze, wygodna.","269.00 PLN","174.85 PLN","https://www.pegazshop.pl/bluzka-konkursowa-pikeur-biała--81.html#/rozmiar-36/kolor-biały","http://www.pegazshop.pl/28499/bluzka-konkursowa-pikeur-biała-.jpg","Wyprzedaż","Pikeur","4055377278282","00549-549/6049-34"
