"Identyfikator Produktu (ID)","Nazwa produktu","Opis","Cena sprzedaży z podatkiem","Cena ostateczna (brutto)","Url produktu","Urls obrazu produktu","Producent","Kod kreskowy EAN-13 lub JAN","Kod produktu"
"3","Bat do lonżowania FP Sigma-2 fioletowy","Bat Sigma-2 firmy Fair Play. Idealny, elastyczny bat do lonżowania. Rączka antypoślizgowa wykonana z gumy, reszta wykonana z włókna szklanego pokrytego nylonem.","54.00 PLN","43.00 PLN","https://www.pegazshop.pl/bat-do-lonżowania-fp-fioletowy-3.html#/rozmiar-180_cm/kolor-fioletowy","http://www.pegazshop.pl/30701/bat-do-lonżowania-fp-fioletowy.jpg","Inter-Api","5901845314312","103031616180-180"
"3","Bat do lonżowania FP Sigma-2 fioletowy","Bat Sigma-2 firmy Fair Play. Idealny, elastyczny bat do lonżowania. Rączka antypoślizgowa wykonana z gumy, reszta wykonana z włókna szklanego pokrytego nylonem.","54.00 PLN","34.00 PLN","https://www.pegazshop.pl/bat-do-lonżowania-fp-fioletowy-3.html#/rozmiar-200_cm/kolor-fioletowy","http://www.pegazshop.pl/30702/bat-do-lonżowania-fp-fioletowy.jpg,http://www.pegazshop.pl/73985/bat-do-lonżowania-fp-fioletowy.jpg","Inter-Api","5901845314312","103031616180-180"
"49","Bezrękawnik Pikeur Pico antracytowy","Bezrękawnik męski Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonany z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Bezrękawnik lekko ocieplany watą. Zapinany na dwukierunkowy zamek błyskawiczny. Zakończony kołnierzem typu stójka. Wyposażony w kryte, zapinane kieszenie.","585.00 PLN","351.00 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-antracytowy-49.html#/rozmiar-52/kolor-antracytowy","http://www.pegazshop.pl/28443/bezrękawnik-pikeur-pico-antracytowy.jpg","Pikeur","4055377705832","00433-PICO 1988-52"
"50","Bezrękawnik Pikeur Pico czerwony","Bezrękawnik męski Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonany z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Bezrękawnik lekko ocieplany watą. Zapinany na dwukierunkowy zamek błyskawiczny. Zakończony kołnierzem typu stójka. Wyposażony w kryte, zapinane kieszenie.","585.00 PLN","351.00 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-czerwony-50.html#/rozmiar-48/kolor-czerwony","http://www.pegazshop.pl/28444/bezrękawnik-pikeur-pico-czerwony.jpg,http://www.pegazshop.pl/59604/bezrękawnik-pikeur-pico-czerwony.jpg,http://www.pegazshop.pl/70300/bezrękawnik-pikeur-pico-czerwony.jpg","Pikeur","4055377508785","00434-PICO 1986-48"
"50","Bezrękawnik Pikeur Pico czerwony","Bezrękawnik męski Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonany z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Bezrękawnik lekko ocieplany watą. Zapinany na dwukierunkowy zamek błyskawiczny. Zakończony kołnierzem typu stójka. Wyposażony w kryte, zapinane kieszenie.","585.00 PLN","351.00 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-czerwony-50.html#/rozmiar-50/kolor-czerwony","http://www.pegazshop.pl/28444/bezrękawnik-pikeur-pico-czerwony.jpg,http://www.pegazshop.pl/59604/bezrękawnik-pikeur-pico-czerwony.jpg,http://www.pegazshop.pl/70300/bezrękawnik-pikeur-pico-czerwony.jpg","Pikeur","4055377508785","00434-PICO 1986-48"
"51","Bezrękawnik Pikeur Pico niebieski","Bezrękawnik męski Pico marki Pikeur z kolekcji wiosna-lato 2017. Wykonany z przyjemnego, lekkiego materiału, doskonale odprowadzającego wilgoć. Bezrękawnik lekko ocieplany watą. Zapinany na dwukierunkowy zamek błyskawiczny. Zakończony kołnierzem typu stójka. Wyposażony w kryte, zapinane kieszenie.","585.00 PLN","351.00 PLN","https://www.pegazshop.pl/bezrękawnik-pikeur-pico-niebieski-51.html#/rozmiar-50/kolor-niebieski","http://www.pegazshop.pl/28446/bezrękawnik-pikeur-pico-niebieski.jpg","Pikeur","4055377705788","00436-PICO1990-50"
"63","Kurtka damska z kapturem Pikeur Medea zielona","<p>Kurtka wiosenno-jesienna z kapturem firmy Pikeur.Nie posiada ocieplenia, wykonana z lekkiego softshellu chroniącego przed wiatrem i deszczem. Kurtka wyposażona w dwustronny zamek, dwie zapinane kieszenie, ściągacze wzdłuż bioder oraz na zakończeniu rękawów. Ozdobiona białymi przeszyciami wokół kieszeni i emblematem z logo na rękawie.</p>
<p>Uwaga! 72 to rozmiar 36 z przedłużanymi rękawami.</p>
<p></p>","699.00 PLN","99.00 PLN","https://www.pegazshop.pl/bluza-z-kapturem-pikeur-medea-zielona-63.html#/rozmiar-72/kolor-zielony","http://www.pegazshop.pl/28468/bluza-z-kapturem-pikeur-medea-zielona.jpg","Pikeur","4055377288649","00489-MEDEA 2753-34"
"66","Koszulka konkursowa Waldhausen Cassandra biała","Koszulka konkursowa Cassandra firmy Waldhausen wykonana z wysokiej jakości materiału bawełnianego, przez co Koszulka jest miła w dotyku, wygodna oraz elastyczna. Na ramionach oraz stójka ozdobiona perełkami. Zapinana na eleganckie perłowe guziki. Lekko przedłużona na tylnej części. Rękawek długość: ½.","175.00 PLN","105.00 PLN","https://www.pegazshop.pl/bluzka-konkursowa-waldhausen-cassandra-biała-66.html#/rozmiar-36/kolor-biały","http://www.pegazshop.pl/43/bluzka-konkursowa-waldhausen-cassandra-biała.jpg","Waldhausen","4043969388655","3209302-36"
"66","Koszulka konkursowa Waldhausen Cassandra biała","Koszulka konkursowa Cassandra firmy Waldhausen wykonana z wysokiej jakości materiału bawełnianego, przez co Koszulka jest miła w dotyku, wygodna oraz elastyczna. Na ramionach oraz stójka ozdobiona perełkami. Zapinana na eleganckie perłowe guziki. Lekko przedłużona na tylnej części. Rękawek długość: ½.","175.00 PLN","105.00 PLN","https://www.pegazshop.pl/bluzka-konkursowa-waldhausen-cassandra-biała-66.html#/rozmiar-38/kolor-biały","http://www.pegazshop.pl/43/bluzka-konkursowa-waldhausen-cassandra-biała.jpg,http://www.pegazshop.pl/57770/bluzka-konkursowa-waldhausen-cassandra-biała.jpg,http://www.pegazshop.pl/97823/bluzka-konkursowa-waldhausen-cassandra-biała.jpg","Waldhausen","4043969388655","3209302-36"
"69","Koszulka konkursowa HKM international granatowa","Koszulka konkursowa firmy HKM o sportowy kroju. Wykonana z oddychającego, odpornego na zabrudzenia materiału łączącego poliester i elastan. Charakteryzuje się wcięciem w tali oraz dużą elastycznością. Znakomicie uzupełnia wygląd stroju jeźdźca podczas zawod","185.00 PLN","91.20 PLN","https://www.pegazshop.pl/bluzka-konkursowa-hkm-international-granatowa-69.html#/rozmiar-m/kolor-granatowy","http://www.pegazshop.pl/45/bluzka-konkursowa-hkm-international-granatowa.jpg","HKM","4000315932641","74626900-M"
